Variant code,Variant description,Estimated cost
4750,Steel Blank - BM6 (550 MM X 124 MM X 2.00 MM DD11),0.83
4751,Steel Blank - BM9 (655 MM X 124 MM X 2.00 MM DD11),0.99
4752,Steel Blank - BM17 (1025MM X 176MM X 2.0 MM DD11),2.19
4805,Skid Frame Raw ,31.0
5003,240V Plug ,2.38
5013,"Splashproof Switch, Switch S/Prf 16A 1W2Pole",7.76
5015,110V Plug ,7.1967
5020,240V Euro Plug (Shuko Re-Wireable Plug Top),2.75
5021,On-Site Analysis Kit (BLD4900),45.9
5027-SINGLE,Pin for Moisture Probe - Single (BLD0500),10.2
5056,Salts Analysis Refill Pack (BLD4901),31.6317
5064,Speedy Absorbent Reagent ,12.01
5065,Speedy Moisture Meters (6 Gram Sample) ,475.2
5090,Hygro Stick (POL4750),119.4
5125,Survey Master SM (BLD5365),243.6418
5257,Snap-on Socket – ¼”BSP Male Inlet ,3.55
5275,Y Piece - ¼”BSP F/M/F ,2.133
5285,Adaptor - ¼”BSP  M/M ,1.25
5286,Elbow - ¼”BSP M/F ,1.1266
5287,"Elbow - 3/8"" BSP M/F ",0.231
5288,"Reducing Bush – ½” BSPM x 3/8"" BSPF ",1.22
5290,Barrel Nipple - ¼”BSP M/M ,1.445
5297,Double Ear Clamp to suit 6.3mm Hose (0072) ,0.141
5298,7-9mm ZINC PLATED MINI CLIPS (NUT & BOLT),0.3472
5299,"Jubilee Clip ""00"" to suit 12.5mm Hose (0079) (13 - 20mm)",0.2986
5301,Jubilee Clip to suit Motor to Pump Guard ,0.4881
5302,M8 form A washer - BZP Din 125-1A ,0.0161
5303,M8 Nut ,0.0362
5326,"Machine Screw - M4 x 16mm, Pan Head",15.45
5327,"M4 steel hex nut, BZP",1.4
5328,"Flat Washer - M4, Mild Steel, Form A, Bright Zinc Plated  ",0.0115
5356,'O' Ring - to suit (0055) Nozzle ,0.1
5405,Hypro Cup Spreader,0.87
5406,Hypro Backing Plate,1.06
5408,Hypro Connecting Rod ,8.51
5409,Hypro Seal Kit (No Guides),0.0
5413,Hypro Grease Nipple ,2.73
5417,Hypro Cylinder Head ,20.0
5418,Hypro Cylinder Head O-Ring ,0.52
5419,Hypro Cylinder Sleeve O-Ring ,0.0
5420,Hypro Cylinder Sleeve ,10.88
5421,Hypro Unitised Valve Kit - 4 Valves per Kit (3430-0197) ,17.63
5425,Hypro Main Bearing ,2.45
5437,Hypro Safety Cover ,0.406
5501,Spring - Control Valve ,0.36
5527-B,Plastic Wedge Black - Large (Box of 364),57.33
5528-B,Plastic Wedge Grey - Small (Box of 550),46.0
5531,Swivel Cap Washer ,0.47
5532,Holding Washer - 'O' ring,0.06
5623,'O' Ring - Trigger Spindle ,0.095
5626,Nylon Handle Joint Seal - Trigger Unit ,0.0379
5631,Valve Seat Washer – Trigger Unit ,0.089
5632,Rivet - Trigger Unit ,0.0268
5633,Rivet Cap - Trigger Unit ,0.0557
5634,Spring - Trigger Unit ,0.1365
5635,F16 Holding O'Ring,0.0246
72,6.3mm ID Hose - Reinforced Polyurethane (Stocked per Meter),1.456
73,9.5mm ID Hose - Reinforced PVC (Stocked per Meter),0.3667
74,Coil of 6.3mm ID Hose - Reinforced Polyurethane (30 Meter Coil),42.59
76,Glycerine Gauge ,5.53
79,12.5mm ID Hose – Polyurethane (Stocked per Meter),2.5636
80:80-HEADER,Haws Header Card for Plastic Can Merchandiser ,2.568
80:80-SPIN,HAWS INDOOR SPINNER DISPLAY,94.8217
97,6mm ID x 8mm OD Clear PVC  Coil - Injector Seal (Stocked Per Meter),0.585
F22-10,F22 Weed Bar (Trade Pack),27.5203
FAR-2006-C/S48ROSE,FINE AS RAIN COUNTER STAND,45.3229
FAR-2006-F/S96ROSE,FINE AS RAIN FLOOR STAND,84.4
FAR2006-HEADER CARD,Fine as Rain - 8 & 16 Hook Static Stand Header Card,3.95
FAR2009-48,FINE AS RAIN SPINNER STAND,132.26
FAR2009-BACKING BOARDS,Fine as Rain - Floor Standing Spinner - Backing Boards (kit form),53.78
FAR2009-OVERLAY BOARDS,Fine as Rain - Floor Standing Spinner - Overlay Boards,0.0
HAW216-CAN-DISPLAY,Haws POS Display Unit,76.0333
SUB10053,Subcontract - Moulded Can with Rose - 100-2-GRN,1.353
SUB10057,Subcontract - Moulded Can with Rose - 100-2-BLU,1.645
SUB10061,Subcontract - Moulded Can with Rose - 100-2-RED,1.353
SUB10065,Subcontract - Moulded Can with Rose - 100-2-YEL,1.353
SUB10069,Subcontract - Moulded Can with Rose - 100-2-SAG,1.353
SUB10073,Subcontract - Moulded Can with Rose - 100-2-DEB,1.5838
SUB10076,Subcontract - 150-1-RCL Rose,0.1102
SUB10077,Subcontract - 150-1-GRN Rose,0.1102
SUB10081,Subcontract - 150-1-BLU Rose,0.1102
SUB10085,Subcontract - 150-1-RED Rose,0.0712
SUB10089,Subcontract - 150-1-YEL Rose,0.0712
SUB10093,Subcontract - 150-1-SAG Rose,0.1102
SUB10097,Subcontract - 150-1-DEB Rose,0.126
SUB10140,Subcontract - 1 Gallon Neck,0.42
SUB10141,Subcontract - 1 Gallon Breast,0.39
SUB10177,Subcontract - Moulded Rose - F2 Round Rose (Fine as Rain),0.318
SUB10180,Subcontract - Moulded Rose - F3 Round Rose (Fine as Rain),0.42
SUB10183,Subcontract - Moulded Rose - F4 Oval Rose (Fine as Rain),0.33
SUB10186,Subcontract - Moulded Rose - F5 Oval Rose (Fine as Rain),0.33
SUB10189,Subcontract - Moulded Rose - F6 Oval Rose (Fine as Rain),0.33
SUB10192,Subcontract - Moulded Rose - F7 Round Rose (Fine as Rain),0.4649
SUB10195,Subcontract - Moulded Rose - F8 Round Rose (Fine as Rain),0.465
SUB10198,Subcontract - Moulded Rose - F9 - Seedspray Rose (Fine as Rain),0.73
SUB10207,Subcontract - Moulded Rose - F12 Oval Rose (Fine as Rain),0.322
SUB10210,Subcontract - Moulded Rose - F14 Round Rose (Fine as Rain),0.332
SUB10213,Subcontract - Moulded Rose - F16 Jumbo Rose (Fine as Rain),0.36
SUB10251,Subcontract - Moulded Rose - 330-2A,0.3512
SUB10274,Subcontract - Moulded Rose - 100-2-GRN,0.0591
SUB10427,Subcontract - 170-1.5-GRN Brass (Deluxe) Long Reach Accessories - Green ,1.124
SUB10440,Subcontract - 1 Gallon Handle - Electroplated ,0.25
SUB10453,Subcontract - 2 Gallon Handle - Electroplated ,0.25
SUB10465,Subcontract - Moulded Rose - F1 Round Rose (Fine as Rain),0.42
SUB10498,Subcontract - Moulded Rose - F10 Oval Rose (Fine as Rain),0.502
SUB10502,Subcontract - Moulded Rose - F11 Weedspray Rose (Fine as Rain),0.362
SUB10796,Subcontract - Moulded Rose - 100-2-BLU,0.21
SUB10797,Subcontract - Moulded Rose - 100-2-DEB,0.0591
SUB10799,Subcontract - Moulded Rose - 100-2-RED,0.0
SUB10800,Subcontract - Moulded Rose - 100-2-SAG,0.0591
SUB10801,Subcontract - Moulded Rose - 100-2-YEL,0.0591
SUB10802,Subcontract - Moulded Rose - 100-2-RCL,0.0591
SUB10814,Subcontract - 2.5mm x 328mm +-1mm Steel Wire Cutting (Priced per KG),0.0
SUB10858,Subcontract - 2 Gallon Neck - CR,0.6908
SUB10859,Subcontract - 2 Gallon Breast Blank - CR,0.44
SUB10863,Subcontract - 186-4 Galvanised Can,12.9333
SUB11007,Subcontract - 198-1 Spout Blank - Isosceles Trapezoid 335mm x 114mm x 80mm ( all +/- 0.4mm) x 0.5mm DX53+Z 0.5 Gauge,0.43
SUB11008,Subcontract - 188-1 Spout Blank - Isosceles Trapezoid 468mm x 114mm x 60mm ( all +/- 0.4mm) x 0.5mm DX53+Z 0.5 Gauge,0.43
SUB11010,Subcontract - 188-2 Spout Blank - Isosceles Trapezoid 594mm x 125mm x 60mm ( all +/- 0.4mm) x 0.5mm DX53+Z 0.5 Gauge,0.43
SUB11011,Subcontract - 198-2 Spout Blank - Isosceles Trapezoid 415mm x 125mm x 80mm ( all +/- 0.4mm) x 0.5mm DX53+Z 0.5 Gauge,0.43
SUB11014,Subcontract - 188-2 Cross Stay Blank - 412mm (+0.0/-0.5mm) x 73mm (+0.0/-0.5mm) x 0.5mm DX53+Z 0.5 Gauge,0.18
SUB11031,Subcontract - 2 Gallon Neck Blank - 413mm (+0.0/-0.5mm) x 229mm +(0.0/-0.5mm) DX53+Z 0.5 Gauge (2 Necks per Blank),0.0
SUB11057,Subcontract - Moulded Rose - 168-1.5-GRN Rose,0.0
SUB11092,Subcontract - Steel Coil CR1 145mm - 0.5mm - 2 Gal Spout Coil - HDG - Stocked Per KG,0.0
SUB11095,Subcontract - Steel Coil Pre Galv 72mm - 0.5mm  - 2 Gal Cross Stay Coil -  Stocked Per KG,0.0
SUB11099,Subcontract - 2.5mm x 385mm +-1mm Steel Wire Cutting (Priced per KG),0.7746
SUB11112,Subcontract - Moulded Can with Rose - 100-2-RCL,1.353
SUB11120,Subcontract - 186-4 Spout Blank - Isosceles Trapezoid 594mm x 125mm x 60mm ( all +/- 0.4mm) x 0.5mm CR1,0.18
SUB11121,Subcontract - 186-4 Cross Stay Blank - 412mm (+0.0/-0.5mm) x 73mm (+0.0/-0.5mm) x 0.5mm CR1,0.0323
SUB11123,Subcontract - 2 Gallon 186-4 Breast Multi-Strip - 254mm (+/-0.5mm) x 1200mm (+/-5mm) x 0.5mm CR1 (4 Breasts per Strip),0.0
SUB11124,Subcontract - 2 Gallon 186-4 Neck Blank - 413mm (+0.0/-0.5mm) x 229mm (+0.0/-0.5mm) x 0.5mm CR1 (2 Necks per Blank),0.0
SUB11140,Subcontract - Moulded Rose - 330-1,0.3512
SUB11141,Subcontract - Moulded Rose - 330-3,0.3512
SUB11142,Subcontract - Moulded Rose - 330-2,0.485
SUB11143,Subcontract - Moulded Rose - 335-1,0.42
SUB11144,Subcontract - Moulded Rose - 335-2,0.42
SUB11145,Subcontract - Moulded Rose - 335-3,0.318
SUB11146,Subcontract - Moulded Rose - 335-4,0.318
SUB11152,Subcontract - 170-1.5 Spout (Brass Insert),1.35
SUB11450,Subcontract - 186-1 Galvanised Can,5.9583
SUB2003,Subcontract - 2 Gallon Breast Multi-Strip - 254mm (+/-0.5mm) x 1200mm (+/-5mm) DX53+Z 0.5 Gauge (4 Breasts per Strip),1.64
SUB4600,Subcontract - Galvanised - BM6,1.6696
SUB4601,Subcontract - Galvanised - BM9,1.6694
SUB4602,Subcontract - Galvanised - BM17,1.6694
ZNS10001,Korapop Cartridge,4.31
ZNS10003,Drive Belt,78.95
ZNS10004,PTFE Rod 15mm OD x 1 Metre,47.83
ZNS10005,12 INCH X 1 SECTION COLOURED MOP ,4.41
ZNS10006,Polish - P164 Menzerna Blue Bar (Carton),148.26
ZNS10007,Idler Pulley for SA635 Belt Sander,22.29
ZNS10009,Scouring Pad,1.6
ZNS10010,Mr Sheen Furniture Polish,2.16
ZNS10011,Yellow Duster (Stocked per pack),1.84
ZNS10012,Glass Cleaner Spray,1.48
ZNS10013,Air Freshener,1.5
ZNS10014,Dish Cloth (Stocked per pack),3.11
ZNS10016,Respirator Mask FFP3 (BOX OF 5),13.4933
ZNS10017,Zirconium File Belt 80 grit 10mm x 330mm,0.63
ZNS10018,Zirconium File Belt 100 grit 10mm x 330mm,0.55
ZNS10020,Gema Optiflex Powder Sprayer,3995.0
ZNS10021,"ASUS VS248HR 24 inch Gaming Monitor (1 ms, 1920 x 1080, HDMI, DVI-D, VGA, 250 cd/m2) - Black",124.15
ZNS10022,600 x400 x120mm Stacking Box Blue,0.0
ZNS10023,600 x400 x120mm Stacking Box Red,0.0
ZNS10024,20mm long series Ball Nose Cutter,52.5
ZNS10025,650mm x 800mm Bubble Bag - no lip,0.5356
ZNS10026,260mm x 380mm Bubble Bag - no lip,0.1184
ZNS10027,500mm x 750mm Bubble Bag - no lip,0.3838
ZNS10028,1mm Dia. Jobbing Twist Drill,8.84
ZNS10029,"Logitech B100 Optical USB Ambidextrous Mouse for Windows, Mac and Linux - Black",0.0
ZNS10030,Alexandra Bib Apron Denim Blue,12.0
ZNS10031,NG19 Alexandra men's anti-pill fleece,15.4
ZNS10038,Detector Carton,0.0
ZNS10039,DPD Packing Box,1.6472
ZNS10040,Safety Shoe,22.4916
ZNS10041,CAUTION WET FLOOR / CAUTION CLEANING IN PROGRESS / a-frame sign - Warning Sign,5.7667
ZNS10042,"AmazonBasics RJ45 CAT5e High Speed Ethernet LAN Patch Cable 4.2 m / 14 Feet [1,000 Mbps (1 Gbps)]",2.0833
ZNS10043,"Logitech B100 Optical USB Ambidextrous Mouse for Windows, Mac and Linux - Black",4.9167
ZNS10044,Propane Gas 19 Kgs,37.69
ZNS10045,Epoxy Primer I Litre,25.1
ZNS10046,"10"" x 15"" Medium Duty Polythenr Bag (Pack of 500)",19.59
ZNS10047,'U' Bar Adjustable Clamp,13.57
ZNS10048,Tissue Paper (Stocked per pack),11.79
ZNS10049,Corrugated Roll 600 x 75 M,21.03
ZNS10050,E Tape Clear 48 x 150M (36 rolls per Box),56.88
ZNS10051,Denva Hand Tape 25mm x 66M Clear,24.48
ZNS10052,Toilet Roll (PER PACK),9.95
ZNS10053,Hand Towel (Stocked per pack),20.36
ZNS10054,Bleach 5 Litre (Stocked per bottle),5.0
ZNS10055,Buttermilk Soap (28 bars PER BOX),28.95
ZNS10056,Anti-Bacterial Handwash,10.8
ZNS10057,Lightweight Refuse Sack (per box),12.86
ZNS10058,Blue Nitrile Grove Large,11.0
ZNS10059,Blue Nitrile Gloves XL (Stocked per box),5.37
ZNS10060,Sherwood.14mm HSS-COBALT SC/SH END MILL,0.0
ZNS10061,Sherwood.18mm HSS-COBALT SC/SH END MILL,0.0
ZNS10062,"Kennedy.12""x1/2""x18TPI HSS ALL HARD HACKSAW BLADES",0.0
ZNS10063,"Kennedy.12""x1/2""x24TPI HSS ALL HARD HACKSAW BLADES",0.0
ZNS10064,Small Bubble Wrap 500mm x 3 rolls per pack,14.0
ZNS10066,Hand Pallet Wrap (Stocked per roll),6.03
ZNS10067,Peek Polish 1000ml can ,15.0
ZNS10068,Gloss Enamel Paint RAL 6021 Green,9.95
ZNS10069,Gloss Enamel Paint RAL 1015 Cream,9.95
ZNS10070,Gloss Enamel Paint RAL 3004 Red,9.95
ZNS10071,Gloss Enamel Paint BS 16C33 Blue,9.95
ZNS10072,250 ml Tins,0.7
ZNS10073,Solder Wire Lead Free Acid Cored for Galv (Stocked per reel),29.75
ZNS10074,Boring Bar,73.21
ZNS10075,Lock Screw,1.92
ZNS10076,Alen Key,5.4
ZNS10077,Hand Rail,422.08
ZNS10078,Embroidered Polo Shirt - Klassic polo,14.95
ZNS10080,101.6 x 101.6mm Direct Thermal Perforated Labels - Permanent Adhesive Select core size:: 25mm; - Multibuy!,6.7007
ZNS10081,Samsung SS346A#EUK Xpress M2835DW Mono Laser Printer - White,123.67
ZNS10082,Mix Fibre Gloves (Stocked per pack),3.25
ZNS10084,T-shirt rags (Stocked per pack),11.95
ZNS10085,Grip Gloves Size 10,8.84
ZNS10086,Stockinette Roll,4.64
ZNS10087,Embroidered Polo Shirt - Kustom Kit Klassic Slim Fit Polo,14.95
ZNS10088, 2 ½ INCH X 60 FOLD SHF G DOLLY MOP,2.8
ZNS10089,"13/64"" Staight Shank Long Series Drill Bit",4.89
ZNS10090,Yellow Kevlar Gloves Size 8,2.37
ZNS10091,Pine Disinfectant 5 litres,3.22
ZNS10092,Blackrock Composite Shoe Size 8 Ref FW522,20.45
ZNS10093,W193 Alexandra Long Length Tabard With Pocket Navy Blue Size M,8.25
ZNS10094,W193 Alexandra Long Length Tabard With Pocket Navy Blue Size L,5.96
ZNS10097,70 x 70 x 58 BMS Block,8.0
ZNS10098,1200x1000 4 Way Lightweight - C Grade Pallet,6.5
ZNS10099,1200x1000 Pallet Heat Treated 4 Way,6.9
ZNS10100,Lister Cut C223 25 Litres,88.18
ZNS10101,De-Ionised Water 25 litres,8.475
ZNS10102,Grey Split Rigger Gloves,1.4133
ZNS10103,20 Micron Machine Pallet Wrap 500x300%,29.2571
ZNS10104,Glue Dot 10mm Dia. Roll of 2000,20.18
ZNS10105,"Kennedy.1/2"" LAMINATING BRUSH",0.439
ZNS10106,M4 Crimp Terminal,0.0457
ZNS10107,"12"" x 35 fold CPS Close Stitched Mop",9.2
ZNS10108,Jigsaw Blades for Wood and Metal,10.45
ZNS10109,Grinding Wheel Toolroom,0.0
ZNS10110,Hacksaw Blades 18 tpi Pack of 10,24.9
ZNS10111,Hacksaw Blades 24 tpi Pack of 10,24.9
ZNS10112,125mm x 10m F.A. Roll 6120,20.97
ZNS10114,Lay Flat Polythene Tubing 75x250gx330metres,53.3
ZNS10115,Hot Glue Sticks pc 40,11.56
ZNS10116,Yellow HI Viz Waistcoat - Large,2.95
ZNS10117,Yellow HI Viz Waistcoat - Extra Large,2.95
ZNS10118,5mm Dia. PVC Earth Sleeving,6.6
ZNS10119,Mop Head,1.8
ZNS10120,15 Litre Drum Red Beaded Gel Hand Cleaner,16.0
ZNS10122,Ultramax 32,47.22
ZNS10124,15mm ID x 28mm OD Bearing,4.32
ZNS10125,Ball Bearing 12mm ID x 24mm OD,3.46
ZNS10126,Blue Nitrile Gloves Large (Stocked per Box),5.75
ZNS10127,Cream Surface Cleaner,0.95
ZNS10128,Grip Gloves Size 9,0.6
ZNS10129,"W193 Alexandra Long Length Tabard, pocket, navy blue Size XL",7.505
ZNS10130,WL9 Alexandra Men's Stud Coat Navy Size 44,14.61
ZNS10131,WL9 Alexandra Men's Stud Coat Navy Size 42,13.95
ZNS10132,3 Phase Invertor 0.37 KW,159.35
ZNS10133,Self-Adhesive Platens Seco,22.65
ZNS10134,Clear Frame Safety Spectacles,1.53
ZNS10135,Dish Cloth x 10,3.11
ZNS10136,Punch for No 6 Fine as Rain,4.34
ZNS10137,Sliver Spray,4.99
ZNS10138,Stanley Knife Retractable Knife,5.86
ZNS10139,Zinc Rich Primer Spray Can,9.16
ZNS10140,Rustoleum Leak Seal Spray 500ml,11.96
ZNS10141,Dust Extractor UMA 2 HP,2000.0
ZNS10142,Dust Extractor Bags (One Set),350.0
ZNS10146,Carton of Yellow Compo,46.7
ZNS10147,Bubble Bag 320mm x 400mm No Lip,0.1425
ZNS10148,Dry PTFE Lubricant 400 ml,5.47
ZNS10149,PTFE Tape,0.41
ZNS10150,Valspar ME805 Diluant,4.82
ZNS10151,Valspar EP sealant,5.88
ZNS10152,Warrchem GGreen Gloves Large,1.11
ZNS10153,Blue Nitrile Gloves Medium (Stocked per box),5.75
ZNS10154,Disposable Sleeve (Stocked per pack),0.8
ZNS10155,Welding Electrodes - Straight,0.0
ZNS10156,M4 Plain Washer Zinc Plated,0.0085
ZNS10157,M4 SS Nylock Nut,3.64
ZNS10158,M4 SS Plain washer,2.16
ZNS10159,Bullet Tip Marker Box of 12 (N50 Medium),1.3725
ZNS10160,Marker Edding 500 Box of 10,18.99
ZNS10161,Tipp-Ex (Correction Fluid),1.39
ZNS10162,A4 Ring Binder,1.99
ZNS10163,Ambler Safety Shoe Size 5,39.75
ZNS10164,Ambler Safety Shoe Size 7,42.5
ZNS10165,"Halo Waterproof Safety Boots, Size, 11, Black, Leather Upper, Steel Toe Cap",29.1
ZNS10166,"8"" x 1 section colloured Mop",3.05
ZNS10167,A4 - 75gsm paper - FSC Certified,14.99
ZNS10168,Moldex Face Mask 2445,47.83
ZNS10169,80 hook flat pack indoor cans floor stand ,91.82
ZNS10170,4sided floor stand with 48 euro hooks (In Blue),79.44
ZNS10171,H009 Ultramax 68 (25 litre),1.51
ZNS10172,Samsung MLT-D116L Toner,50.29
ZNS10173,Grip Gloves Size 8,0.6
ZNS10174,Jiffy Airkraft Bag Size 0,10.02
ZNS10175,Jiffy Airkraft Bag Size 1,12.07
ZNS10178,Weed Killer (Stocked per litre),75.45
ZNS10179,FW502 Blackrock Safety Trainer - Size 8,25.27
ZNS10180,FW502 Blackrock Safety Trainer - Size 9,24.99
ZNS10181,NM150 Mens Essential Flat Front Trouser - Size 32 (Grey),12.25
ZNS10182,NM150 Mens Essential Flat Front Trouser - Size 36 (Grey),12.25
ZNS10183,Micro Switch Bentley Foot Pedal,0.0
ZNS10184,Rosler Compound - FC415 (Stocked per kg),4.23
ZNS10185,Office Depot Paper Clips Round 50 mm Silver 100 Pieces,1.69
ZNS10186,Bondloc B222 Screwlock (purple),14.24
ZNS10187,Floor Paint Minerva Grey 20 Litres,0.0
ZNS10188,"Kennedy.7/8"" WHIT CHROME VANADIUM COMBINATION SPANNER",1.62
ZNS10189,Sticky Notes  (76 x 127 mm 6 Pads of 90 Sheets),44.99
ZNS10190,Fineliner Pen (Flair Felt Pen) PaperMate ,26.44
ZNS10191,Office Depot Rubber Bands Ø 120 mm 120 mm 500 g,5.29
ZNS10192,Whiteboard Marker (Niceday),5.99
ZNS10193,NM150 Mens Essential Flat Front Trouser Size38 Regular Fit,12.25
ZNS10194,W601 Alexandra Coverall Size 42 Relaxed Fit,17.84
ZNS10195,Ambler Safety Shoe FS47 Size 8,30.95
ZNS10196,"WheateFull Tight Strong Bonded Nylon Sewing Thread for Outdoor, Leather Seats, Bags, Shoes, Canvas, Upholstery and Sewing Machine Hand Stitching (White)",5.4083
ZNS10197,Tooling Charge - ,208.3333
ZNS10198,"Battery, Ultra Alkaline AA Bulk 24pk",8.29
ZNS10199,Tool Steel,65.0
ZNS10200,Product Barcode Label - White 25 x 38mm,0.0031
ZNS10201,"Advance Tapes Black Electrical Tape, 19mm x 33m",1.25
ZNS10202,"Electrical spiral 0.022"" dia wire (Deluxe Hot Plate Welder)",5.0
ZNS10203,Crimp to suit Spiral (Deluxe Hot Plate Welder),0.1
ZNS10205,Litter Picker,0.0
ZNS10207,S840 - Polycotton Bib Apron,8.95
ZNS10208,W193 Alexandra Lon Length Tabard with Pocket Navy Blue Size L,6.27
ZNS10209,W193 Alexandra Lon Length Tabard with Pocket Navy Blue Size M,6.27
ZNS10210,Replacement Air Cylinder to suit Hot Plate Welder,170.0
ZNS10211,"Polishing Machine, 3 HP, 2800 RPM",1490.0
ZNS10220,Nickel Conductor 2.5sqmm ( Deluxe Hot Plate Welder),3.0
ZNS10221,Steel Blanks,73.2
ZNS10222,Welding Electrodes - Double Bend,22.45
ZNS10223,Office Depot Paper Clips Round 50 mm Silver 1000 Pieces,9.51
ZNS10224,Office Depot Stapler 30 Sheets Black,4.315
ZNS10225,"1220 x 2440mm 2""x 1""x 10g (4' x 8') Welded Mesh Self Colour",19.9
ZNS10226,Armatureplate for Holding Magnet,6.42
ZNS10227,40mm Dia. 24V Electro Holding Magnet,32.09
ZNS10228,Scotch-Brite Roll - 125x10000mm - Fine (Green) ,64.98
ZNS10229,Sand Paper Roll - 115mmx50m - P80 Grade (Red),95.54
ZNS10230,ASUS ZenBook 15 UX533FD-A8067T,1083.3083
ZNS10231,"UGREEN SD Card Reader USB 3.0 Dual Slots Memory Card Reader Adapter for SD, SDXC, SDHC, MMC, RS-MMC, Micro SD",8.325
ZNS10232,"York.100x5x16mm A30RBF DPC Grinding Disc, Type 27 - Pack of 5",6.65
ZNS10233,"Senator.39"" RULE-WALLETED",12.0
ZNS10234,Yamoto.5M/16' LOCKING TAPE RULE,8.3
ZNS10235,Office Depot Desktop Calculator AT-812T Silver 8 Digit Display,4.79
ZNS10236,"Rapesco RPTD500B 500 Heavy Duty Tape Dispenser, Tape Rolls up to 25 mm x 66 m - Black",8.325
ZNS10237,OXFORD Black 'n' Red Recycled Notebook A5 Ruled Hardback 140 pages,5.99
ZNS10238,Compostable Bag,0.1092
ZNS10239,FW17 Alexandra safety shoes,0.0
ZNS10240,Trade Stand - ,16.06
ZNS10241,DCE Extractor Unit 4 HP,2900.0
ZNS10242,"5"" Blanking Cap to suit Extraction Unit",6.0
ZNS10243,"1"" x 1"" x 1"" x 1/8"" x 5 Metres Aluminium Channel Section",14.25
ZNS10244,"2"" x 2"" x 1/8"" x 5 Metres Aluminium Angle Section",18.55
ZNS10245,"1"" x 1"" x 1"" x 1/8"" x 6 Metre Aluminium Tee Section",11.35
ZNS10340,Aluminium Uninsulated Flex 180mm Diameter 10m Length,17.4
ZNS10348,Carton Label - White ,5.6
ZNS10349,Tak Coths (Stocked per pack),16.04
ZNS10351,Dealer Boot,24.73
ZNS10352,Chicopee Veraclean I-Tack light wipes ,6.5386
ZNS10353,Office Depot Envelopes DL 80gsm White Window Self Seal 1000 Pieces,26.99
ZNS10354,Thermal Paper Rolls 57 x 40 x 12 mm,14.0
ZNS10355,Pitney Bowes Franking Ink Cartridge - Blue - DM50 (K700) Series & DM60 Series,76.95
ZNS10356,Atlas Workholders.H340-FA 'U' BAR ADJUSTABLE HORIZONTAL CLAMP,30.3
ZNS10357,Pencil (Graphite) niceday,1.79
ZNS10358,Ballpoint Pen (Biro) Red Bic Cristal fine,17.44
ZNS10359,Aftermarket MLT-R116 Original Drum Black & MLT-D116L Toner Cartridge,36.325
ZNS10360,Luxe A4 Letterhead,0.81
ZNS10361,Cotton Business Cards,0.2708
ZNS10362,Essential DL FLyers,0.0583
ZNS10363,5mm Washer,3.06
ZNS10364,M10 Washer - Qualfast.10mm CLEVIS PIN WASHER,0.0224
ZNS10365,Tooling Bolts (Edit here),1.45
ZNS10366,Workshop Tools (Edit Here) ,139.52
ZNS10367,"Sealey PC200PB5 Dust Collection Bag for PC200, PC200SD, PC200SDAUTO Pack of 5 - Brown",14.88
ZNS10368,UKCOCO 4pcs PP Side Mount High Pressure Water Level Sensors Liquid Float Switches for Water Purifier (Black),9.99
ZNS10369,28cm Water Level Sensor Stainless Steel Float Switch Pool Tank,8.22
ZNS10370,Pool Water Level Sensor Vertical Float Switch Blue,5.82
ZNS10371,edding 4-T25001 Refill Ink Permanent Marker - Black,5.31
ZNS10372, AC-90 Penetrating lubricating maintenance spray 425ml (Pack of 3),3.66
ZNS10373,Office Depot Notepad A4 Ruled 5 Pieces of 100 Sheets,4.49
ZNS10374,Tyvek White Disposable Polyethylene Chemical Resistant Arm Protector 19.5in One size,0.99
ZNS10375,Show Supplies - ,750.0
ZNS10376,"1x Linear Potentiometer 2.5 K Axial & # x2126; 200mW, 6 mm",3.54
ZNS10377,OXFORD Black n' Red Wirebound Hardback Notebook Ruled A4,11.49
ZNS10378,Solvex glove Size 8 (Stocked per pair),5.62
ZNS10380,"RS PRO Door and Window Switch Surface Mount 500mA, 50V ac/dc",8.38
ZNS10381,Jobber Drills Pack of 5 ,3.88
ZNS10382,"Air Receiver, Vertical,500 Litres",895.0
ZNS10384,54MM IndES EcoTach™ BIO-TPU - NATURAL,0.0
ZNS10386,Yellow HI Viz Waistcoat - Medium,2.3
ZNS10387,"TE Connectivity T9A SPDT Non-Latching Relay Flange Mount, 12V dc Coil, 20A",4.21
ZNS10389,Women's Black/Pink Suede Safety Trainers - Size 5,24.01
ZNS10390,3mm Steel Sheet ,52.0
ZNS10391,Lister Systems Cleaner 5 litres,34.9
ZNS10392,Plastic Dustbin,13.43
ZNS10393,"BASE LAYER TOP BLACK MEDIUM 38"" CHEST",14.99
ZNS10394,"BEAGLE TROUSERS BLACK 30"" W 32"" L",11.99
ZNS10395,Straight Welding Electrode 19mm Vertical Centre 76mm Overall Length C/W Std  Taper,4.45
ZNS10396,870mm Chrome Worktop Legs,12.29
ZNS10397,Breakfast Bar Charcole Splatter 4100 x 900 x 40,150.01
ZNS10398,Oxford.ABS Electronic Calipers,30.6
ZNS10399,Moore & Wright.MW110 Basic Line Digital Calipers,58.19
ZNS10438,Slosh Sealant ,0.0
ZNS10439,WD-40 Lubricant,5.66
ZNS10440,"17/32 Split die, 26TPI 2""OD WHIT",238.49
ZNS10441,Himalayan Asio Safety Shoe for JT ,0.0
